Nombre,Link,Descripcion
El Primer Paso,https://pluto.tv/latam/on-demand/movies/5fda40a0aabcdd001aaf454a,"Después de que el entrenador del equipo deja a un lado a Austin, una estrella del fútbol en ascenso, se llevan a cabo una serie de eventos."
A Second Chance,https://pluto.tv/latam/on-demand/movies/612511c1d24f5e00135e9de8,"Maddy quiere ser una de las mejores gimnastas, pero su rival, Chelsea, gana la mayoría de las competencias. Con la ayuda de Kate, una nueva entrenadora, Maddy intenta superar la adversidad para tener una oportunidad en el Equipo Nacional de Gimnasia."
La Esperanza es Eterna,https://pluto.tv/latam/on-demand/movies/5e04dec41f042d3335b35e4c,"Cuando la vida de la adolescente Hope Gracin cambia repentinamente, ella encuentra que el mundo le tiene poca simpatía y debe aprender a vivir su vida sin fecha de expiración."
Nada Más a Perder,https://pluto.tv/latam/on-demand/movies/5fda40a8aabcdd001aaf462a,"Samantha Wick, una de las jóvenes gimnastas más prometedoras de su generación, está aislada del equipo olímpico y decide finalmente seguir su sueño de montar a caballo, entrando en un campo de equitación para mujeres."
El Sol de Medianoche,https://pluto.tv/latam/on-demand/movies/60bf7226d782df0013ef25df,"En las heladas tierras del norte de Canadá, el joven Luke desafiará los peligros de la naturaleza y la dura inclemencia del tiempo invernal para ayudar a un joven oso polar a que se reúna con su madre."
Amor por el Perro,https://pluto.tv/latam/on-demand/movies/5fda4095aabcdd001aaf4430,"Cuando una madre divorciada intenta iniciar una nueva relación, sus hijos y su perro comienzan a sabotear el romance. Tienen éxito, hasta que aparece un ex novio de la escuela."
Una verdadera amistad,https://pluto.tv/latam/on-demand/movies/5fda409aaabcdd001aaf44a0,"Finn es un niño de 13 años que es acosado constantemente en la escuela, pero su vida comienza a cambiar el día que conoce a un labrador llamado Marshall, que vive en condiciones extremas y necesita atención médica."
The Island of Secrets,https://pluto.tv/latam/on-demand/movies/5fad4a728b78ef001aa27a81,"Toni descubre que su nuevo amigo, un talentoso buceador, lo esta forzando a ser contrabandista de tesoros nacionales en una cueva submarina."
Encuentra el amor en Valentine,https://pluto.tv/latam/on-demand/movies/5f50f116db45a1001a798e62,"Kennedy Blaine hereda un magnífico rancho en la pequeña población de Valentine y decide visitar la propiedad para ponerlo en venta. Cuando llega, Derek, el capataz, la confunde con una intrusa y la relación no empieza con buen pie."
Una oportunidad para bailar,https://pluto.tv/latam/on-demand/movies/61826c9f10b65c001a4fc0cc,"Una aspirante a bailarina de 17 años se cambia de escuela y tiene una última oportunidad para cumplir su sueño de convertirse en una bailarina de verdad. Ahora, con dos pretendientes compitiendo por su atención, deberá concentrarse en cumplir sus sueños."
Una Esperanza de Navidad,https://pluto.tv/latam/on-demand/movies/5fda414e0dddaf0013b8376a,"Esta es una encantadora y conmovedora historia navideña sobre la esperanza, el perdón y la fe, que cuenta cómo una madre soltera y su única hija de siete años encuentran un Santa Claus que puede cambiar sus vidas."
Charlie II: El auto fantástico,https://pluto.tv/latam/on-demand/movies/609ae6ce50ae750013ec48c9,"El huérfano Félix, de 11 años, extraña a su hermano Charlie (30), quien lo había dejado con sus horribles padres adoptivos, los Blixt, hace seis años. Félix ha estado construyendo en secreto un ""coche"" a partir de un motor averiado."
Sophie,https://pluto.tv/latam/on-demand/movies/60c8abdb36537d0013320b9a,Natalia es una chica de 17 años que crece en un zoo junto a su familia donde comparte su amor por el ballet y los animales. Sus padres se verán obligados a vender a su elefante Sheba a un circo para poder pagar la matricula de baile de Sophie.
"¿EI, Dónde está mi Perro?",https://pluto.tv/latam/on-demand/movies/5fda414b0dddaf0013b83734,"Un joven llamado Ray se queda en casa para cuidar al perro de la familia, Harry, para demostrarles a sus padres que no es, como dicen, ""irresponsable""."
Espía por casualidad,https://pluto.tv/latam/on-demand/movies/602ebb136c2a2d0014103613,"Spy By Chance cuenta la historia del niño Tim, de tan solo 10 años, cuando él y su familia se mudan a un antiguo hotel ubicado en la región costera del país."
Una historia de amistad,https://pluto.tv/latam/on-demand/movies/602eb9ccffe774001ad39267,"Champion, caballo que pertenece a la joven Monica, quiebra el secreto de su linaje y revela a la chica que puede hablar."
WWJD II: The Woodcarver,https://pluto.tv/latam/on-demand/movies/61b36f8250fedf0014b560ed,"Matthew es un chico rebelde que destruye la iglesia que su padre está renovando como carpintero. Trabajando se dan cuenta que todo es posible con fe, familia y amistad."
El Secreto de Roan Inis,https://pluto.tv/latam/on-demand/movies/60195c485777bb001aaa18e1,"La joven Fiona vive con sus abuelos en un pequeño pueblo de pescadores, donde asume un rol activo en desentrañar los misteriosos secretos."
Un Nuevo Recomienzo,https://pluto.tv/latam/on-demand/movies/5fda40dcaabcdd001aaf4bb1,"Una joven profesora muy motivada invierte emocionalmente en sus alumnos en una ciudad con problemas y está decidida a involucrarlos a través de tácticas de aprendizaje innovadoras, pero pronto se enfrenta a un escrutinio sobre su misterioso pasado."
Un verano inolvidable,https://pluto.tv/latam/on-demand/movies/5fda408eaabcdd001aaf4382,"La joven Kathy sueña con pasar el verano en el campamento ecuestre de Black River, un lugar reservado solo para niñas."
Sopa de Tortilla,https://pluto.tv/latam/on-demand/movies/5e0fec0d35c897d6b3b7955b,"Un master chef mexicanoamericano y padre de tres hijas ha perdido su gusto por la comida, pero no por la vida."
¿Y dónde está el piloto? II,https://pluto.tv/latam/on-demand/movies/5e5ec24e5c7c10001a60ab5a,"Hay un loco bombardero a bordo, el primer trasbordador a la luna está por auto-destruirse, los motores no están funcionado, y lo peor de todo, la tripulación del vuelo descubre que están ¡completamente locos!"
¿Y dónde está el piloto?,https://pluto.tv/latam/on-demand/movies/5ef609dd26f528001384c136,"Considerada ""una de las 10 películas más divertidas de la historia"" por el American Film Institute, ""¿Y dónde está el piloto?"" es una obra maestra de la comedia de disparate."
El Mundo Según Wayne,https://pluto.tv/latam/on-demand/movies/5e5ec2585c7c10001a60ac48,"En la tradición de LOS DIEZ MANDAMIENTOS, LAWRENCE DE ARABIA, y GANDHI llega un poema épico lleno de espectáculo y drama."
El Mundo según Wayne 2,https://pluto.tv/latam/on-demand/movies/5e5ebb3867bbf8001aab528b,"Los dos roqueros favoritos de Aurora, Illinois, están de vuelta en esta secuela de la comedia de 1992, El mundo de Wayne."
The Four ,https://pluto.tv/latam/on-demand/movies/63179b83d1f9a40013b92eaa,"Un departamento del gobierno conocido como Six Panels nombra a su mejor oficial para infiltrarse en una fuerza especial llamada Divine Constabulary, para asegurarse de detener la circulación de monedas falsas en la capital."
The Four 2,https://pluto.tv/latam/on-demand/movies/63179b88d1f9a40013b92f3d,"Cuatro detectives, cada uno con poderes sobrenaturales, dedican sus habilidades únicas y especiales a resolver crímenes y detener a poderosos criminales."
The Four 3,https://pluto.tv/latam/on-demand/movies/63179ceabc1f1600132f5ec0,"Un escuadrón de élite sale a resolver el misterio del emperador Huizong, desaparecido tras un atentado contra su vida."
Paladin I: el cazador de dragones,https://pluto.tv/latam/on-demand/movies/62fe98eb2bc0c7001aab9b60,"Después de que el padre de Will es asesinado por un dragón, se embarca en un viaje épico para buscar venganza contra el monstruo vicioso."
Paladin II: The Crown And The Dragon,https://pluto.tv/latam/on-demand/movies/62fe9a5320b977001eedd4a8,"Una joven noble debe cumplir con su llamado para convertirse en la nueva paladina, la legendaria mata-dragones."
War of the Worlds,https://pluto.tv/latam/on-demand/movies/5dc930f083ada62ccb4e308c,"En esta nueva versión moderna del clásico horror de ciencia ficción de H.G. Wells, la civilización se arruina cuando una súper raza de extraterrestre invade la Tierra."
War of the Worlds 2: The Next Wave,https://pluto.tv/latam/on-demand/movies/5dc92f1f045f36ab79e54d13,"Dos años después de la invasión marciana, se dan cuenta de los peores temores de George Herbert: han regresado."
3 A.M.,https://pluto.tv/latam/on-demand/movies/5fda4089aabcdd001aaf430e,"Todas las historias tienen lugar a las 3 am, la hora más aterradora de la noche, ya que es el momento en que los espíritus son libres para vagar libremente."
3 A.M. 2 : La hora de la muerte,https://pluto.tv/latam/on-demand/movies/602eb8c2f5408c001a4ff233,"Basado en la creencia de que las 3 am es el momento en que el mundo de los muertos y los vivos chocan, sigue 3 historias de terror:"
La Invocación,https://pluto.tv/latam/on-demand/movies/5fda40b5aabcdd001aaf477a,Akane es una maestra que escucha de sus alumnos el rumor de que hay imágenes de alguien suicidándose en Internet. Estas imágenes llevan a quienes también las ven a suicidarse.
La Invocación 2,https://pluto.tv/latam/on-demand/movies/5fda40b3aabcdd001aaf4740,"Pasaron muchos años después de los misteriosos y terribles hechos provocados por una cinta de vídeo maldita, que provocó la muerte de varias personas."
Las Guerras Inmortales,https://pluto.tv/latam/on-demand/movies/627c0d6655812e0013ede8e1,"Después de que una guerra catastrófica sume al mundo en el caos, surge una nueva raza de seres con superpoderes conocidos como ""desviados""."
Las guerras inmortales 2: Resurgimiento,https://pluto.tv/latam/on-demand/movies/627c0d6a55812e0013ede987,La guerra por la libertad acaba de comenzar. Trikalypse une fuerzas con el líder rebelde y un equipo de luchadores por la libertad para acabar con Dominion y exponer su malvada corporación al mundo.
Las Guerras inmortales: Renacimiento,https://pluto.tv/latam/on-demand/movies/627c0d6e55812e0013edea13,"Rebirth tiene lugar durante las primeras etapas brutales de Dominion Industries. En esta historia, Olive y otros desviados se someten a una serie de experimentos mortales dirigidos por Laurie Harvey y su equipo."
Hada de dientes,https://pluto.tv/latam/on-demand/movies/60ba3c8b7f92cf001308fe04,"Los adultos de una pequeña comunidad agrícola se reúnen, comienzan a darse cuenta de que el hada de los dientes malditos, que los traumatizó en su juventud, está suelta de nuevo. ¡Esta vez, viniendo tras sus hijos!"
Hada de dientes: la raiz del mal,https://pluto.tv/latam/on-demand/movies/628cfe38e82ff00013737aff,"20 años después de ser aterrorizada por el Hada de los Dientes, Corey comienza a sospechar que ha regresado para terminar el trabajo."
Hada de los dientes: la última extracción,https://pluto.tv/latam/on-demand/movies/628cfdea59c4c40013ca1c5f,"Corey y su hija, Sally, decidieron irse de vacaciones de verano con sus amigos, Diane, Christy, Toby y Benny. Poco saben, el pasado de Corey lo alcanzará."
"Inuyasha, The Castle beyond the looking Glass",https://pluto.tv/latam/on-demand/movies/6099600841fc480013270ea2,"Después de que los héroes aparentemente derrotan a Naraku; Inuyasha, Kagome y Shippo están separados de Miroku y Sango. Kagura y Kanna se encuentran con Kaguya, la Princesa de los Cielos, sellada en un espejo."
"Inuyasha, Fire in the Mystic Island",https://pluto.tv/latam/on-demand/movies/6099600b41fc480013270f06,"En la Isla Horai, una mujer que se parece a Kikyō, deja caer una esfera verde al Caldero de Resonancia. Libera a los cuatro dioses de la guerra y las cicatrices aparecen en el resto de los niños medio demonio."
"Inuyasha, Swords of an Honorble ruler",https://pluto.tv/latam/on-demand/movies/6099600941fc480013270ed4,"En el actual Tokio, la familia de Kagome envía una espada al almacén. Resulta ser So'unga, rompe el hechizo de setecientos años del espíritu de la vaina, Saya. Cuando Inuyasha toca la espada, la posee y la trae de vuelta al pasado."
Inuyasha The Movie: Affections touching across time,https://pluto.tv/latam/on-demand/movies/6099600641fc480013270e6c,"El padre de Inuyasha derrotó a una poderosa polilla yōkai china llamada Hyōga, hace quinientos años. El fragmento de Joya Shikon revive a su hijo, Menōmaru, y a sus fieles sirvientes, Ruri y Hari (que planean vengar a su familia)."
Condena Injusta,https://pluto.tv/latam/on-demand/movies/609ae6e550ae750013ec4a5f,"Marie Schaerer, la hija de un rico comerciante de telas, es acusada de prostitución en vísperas de su matrimonio concertado con el hijo ilegítimo de un duque. Es encarcelada, despojada de su inocencia, azotada en público y desterrada de la ciudad."
La venganza de la ramera errante,https://pluto.tv/latam/on-demand/movies/609ae6df50ae750013ec49e7,"Ruppertus evitó ser quemado en la hoguera y ahora se hace llamar Janus Suppertur, Gran Inquisidor del Papa. Y todavía está obsesionado con Marie."
El legado de la ramera errante,https://pluto.tv/latam/on-demand/movies/609ae6d550ae750013ec4935,Michel ha sido admitido en la Orden secreta del Dragón del rey Segismundo y Marie se ha convertido en el radiante foco central de la corte. Pero su felicidad se ve amenazada por una intriga sin precedentes.
Feroz,https://pluto.tv/latam/on-demand/movies/5e5d09146bcaef001bb16dda,"Después de descubrir que su hermana mayor fue mordida por un hombre lobo, la adolescente Brigitte se embarca en una misión desesperada para encontrar una manera de revertir el hechizo y salvarla antes de que sea demasiado tarde."
El Aro,https://pluto.tv/latam/on-demand/movies/602ea30fffe774001ad38d0d,"Tras la muerte de Tomoko Oishi, una pariente reportera, Reiko Asakawa , escucha historias de un video que mata a cualquiera que lo ve una semana después de verlo."
Ringu 0 : El Círculo Cero,https://pluto.tv/latam/on-demand/movies/5fda40baaabcdd001aaf47f2,"Treinta años antes del primer Ring, la adolescente Sadako es el miembro más joven de una compañía de teatro de Tokio."
El Aro 2,https://pluto.tv/latam/on-demand/movies/602ea313ffe774001ad38d47,La estudiante Mai Takano intenta encontrar la verdad detrás de la misteriosa muerte de su amado Ryuuji.
Haywire,https://pluto.tv/latam/on-demand/movies/66a94d5894a184001341592c,Una supersoldado de operaciones encubiertas busca venganza después de que la traicionen y le tiendan una trampa durante una misión.
2 horas (Gone),https://pluto.tv/latam/on-demand/movies/66c4acaa6134930013082fd9,"Amanda Seyfried (El precio del mañana, La chica de la capa roja) interpreta este intenso thriller acerca de una joven desesperada que, tras ser ignorada por la policía, debe salir a buscar al asesino serial que ella cree secuestró a su hermana menor."
The Naples Heist,https://pluto.tv/latam/on-demand/movies/6532a83ae2a2d8001a661473,"Cada uno de ellos es un maestro en su especialidad, cinco hombres intentan llevar a cabo el mayor robo de sus vidas: el Banco de Nápoles."
Peleador misterioso - Proyecto A,https://pluto.tv/latam/on-demand/movies/5f7b86b1e4b56900138b7245,"Un joven es golpeado y no puede recordar quién es, pero pronto descubre que tiene dos habilidades significativas. Él sabe mucho sobre cocinar, y es un hábil artista marcial."
La Última Pelea,https://pluto.tv/latam/on-demand/movies/64d3e39a85e5ff00132a4eb5,"Un ex campeón de lucha NCAA está en libertad condicional después de 10 años de prisión. Ahora, para salvar la vida de un amigo, acepta participar en combates extremos. Sin embargo, se le pide que haga lo imposible: perder."
La Trampa,https://pluto.tv/latam/on-demand/movies/604f873ee7c979001a8a84ba,"Un grupo de amigos planea con éxito el robo de unos diamantes, pero no cuentan con que uno de ellos los traicionará."
Cuenta regresiva,https://pluto.tv/latam/on-demand/movies/650b19d23d4f92001308305e,Las superestrellas de WWE Dolph Ziggler y Kane lideran la acción en esta electrizante y emocionante película de suspenso.
El sustituto 4,https://pluto.tv/latam/on-demand/movies/65cfb386a3a8580013caab00,Encubierto y en peligro: Treat Williams encarna a un policía que se hace pasar por profesor en una escuela militar de élite amenazada desde adentro por neonazis clandestinos.
Stretc,https://pluto.tv/latam/on-demand/movies/64f616eb3d4f9200136ef9e2,Un desafortunado conductor de limusina lucha por seguir adelante y pagar una deuda con su corredor de apuestas. Toma un trabajo con un pasajero enloquecido cuyo libro buscado implica a algunos criminales muy peligrosos.
El sustituto,https://pluto.tv/latam/on-demand/movies/65cfac866ef49d00138422df,"Una maestra es atacada por los miembros de una pandilla de la escuela, así que su novio un soldado cazafortunas, Shale, decide tomar el asunto en sus propias manos. Este se convierte en el nuevo maestro suplente y trabaja de encubierto para investigar"
Thunder of War,https://pluto.tv/latam/on-demand/movies/65b0087db65b870013472373,"En noviembre de 1941, un escuadrón restante de soldados soviéticos debe detener una columna de tanques alemanes nazis."
Bienvenido a la Jungla,https://pluto.tv/latam/on-demand/movies/5f11bcd3efe562001368eafa,Un empleado que es víctima del bullying debe dar rienda suelta a su bestia interior después de que un retiro de trabajo en equipo en la jungla sale mal.
Nacido para correr,https://pluto.tv/latam/on-demand/movies/64ecf459b97a1e00136c0043,"Born To Race es la historia de Danny Krueger, un joven corredor callejero rebelde en un curso de colisión con problemas."
Acorralados,https://pluto.tv/latam/on-demand/movies/64d3c8ea5f3440001322d2bf,"Una banda de ladrones que huye tras atracar un banco se topa con una familia que se encuentra de acampada. Aprovechando la ocasión, los criminales esconderán el dinero robado en su coche mientras éstos descansan"
Contrario de Sangre,https://pluto.tv/latam/on-demand/movies/64dbbc04177f7000136eae77,"Dimitri y James, dos poderosos asesinos de élite a sueldo del gobierno, se reencuentran después de su último trabajo en el sudeste asiático."
Luna Llena,https://pluto.tv/latam/on-demand/movies/64764230662d03001b221c43,Un pistolero del salvaje oeste regresa de la tumba para evitar que una banda de hombres lobo sedientos de sangre aterrorice a un pequeño pueblo.
Balas Voladoras,https://pluto.tv/latam/on-demand/movies/641b3b266113a5001a4a46f5,"Durante un período de batallas entre señores de la guerra en el sur de China, se producen varios asesinatos en una fábrica de municiones. Con un detalle: las balas desaparecen. Un detective y su compañero, un experto tirador, inician la investigación."
Los Guerreros,https://pluto.tv/latam/on-demand/movies/5e9f000e57d2e0001a099a41,"Los ejércitos de la noche tienen 100.000 hombres. Superan a la policía en 5 a 1. Y esta noche, van por los Warriors."
Justo a tiempo,https://pluto.tv/latam/on-demand/movies/5e5d43ed4698db001ab20e82,"Gene llega a su casa después de asistir al funeral de su exesposa. Al poco tiempo, secuestran a su hija. Recibe una pistola y la tarea de matar a una persona en una hora y quince minutos. De lo contrario, su hija será asesinada."
Conectado,https://pluto.tv/latam/on-demand/movies/64022a67f9b2f6001422febb,"Un cobrador de deudas recibe una llamada de una mujer que es secuestrada por una pandilla desconocida. Él piensa que es una broma, pero pronto se da cuenta de que no es una broma."
El Amuleto Sagrado,https://pluto.tv/latam/on-demand/movies/641c6c421a5081001a49b4ae,"Cuando una valiosa cuenta es robada por miembros renegados del misterioso Clan Géminis, los protectores de la cuenta recurren a la ayuda de algunos antiguos miembros para recuperarla y llevar a los malvados discípulos ante la justicia."
Balas en Furia,https://pluto.tv/latam/on-demand/movies/641084fa8a5b2f001398b79b,"En la China de la década de 1920, un bandido llega a una remota ciudad de provincia haciéndose pasar por su nuevo alcalde, donde se enfrenta a un tiránico noble local."
Operación Overlord,https://pluto.tv/latam/on-demand/movies/627c0a1255812e0013edde9f,"Una semana antes de asaltar las playas de Normandía, dos soldados estadounidenses se infiltran en un complejo abandonado para rescatar a un prisionero de guerra de las garras del régimen nazi."
Big game,https://pluto.tv/latam/on-demand/movies/60e4703583c54e001398aa84,Un joven que está acampando en el bosque ayuda a rescatar al Presidente de los Estados Unidos cuando el Air Force One es derribado cerca de donde está su camping.
End of a Gun,https://pluto.tv/latam/on-demand/movies/60e6fabdaf6eb3001305abf5,"Un guardia de seguridad del centro comercial, y ex-agente federal, se cruza con el ejecutor de un narcotraficante después de que salva a una mujer del peligro."
Sobre la ley,https://pluto.tv/latam/on-demand/movies/64021c5a653b4e0013096861,"Cuando un ex detective se entera del asesinato de su hijo , se aventura a regresar a las calles oscuras que una vez conoció tan bien. Armado, peligroso y sin nada que perder, debe enfrentarse a la despiadada mafia local en su misión de venganza."
Killing Down,https://pluto.tv/latam/on-demand/movies/602436368d35a80013ee1b24,"Es 1993. Siete años después de que sucediera. Pero Steven Down no puede dejarlo pasar. Es un hombre paranoico, preocupado y desordenado. Un veterano del ejército de los EE. UU. Que busca la verdad."
Shinjuku Incident,https://pluto.tv/latam/on-demand/movies/64132527757193001313367e,Un simple inmigrante chino libra una peligrosa guerra contra una de las organizaciones criminales más poderosas del planeta.
La Batalla de los Malditos,https://pluto.tv/latam/on-demand/movies/62cc230f997d5700138b4e82,"Después de un brote viral mortal, el soldado militar privado Max Gatling lidera a un puñado de sobrevivientes y una banda heterogénea de robots contra un ejército de infectados."
RedBad La Invasión de los Francos,https://pluto.tv/latam/on-demand/movies/6266bd143f03ed0013c8785e,"Cuando el monje Bonifatius es asesinado en una ciudad holandesa llamada Dokkum, la sospecha recae sobre los guerreros bárbaros. asesinados a sangre fría, ¿o es sólo la forma cristiana de ver la historia?"
Ataque de Los Zombis,https://pluto.tv/latam/on-demand/movies/640f596485e48c001aa0b444,Un empleado mediocre de un fabricante de armas debe sobrevivir al caos dentro de la oficina cuando sus colegas se convierten en maníacos asesinos después de tomar una bebida misteriosa.
Bulletproof Monk,https://pluto.tv/latam/on-demand/movies/5dfd2e7abe7e53bc0c65d4ea,"Un monje tibetano inmortal se convierte en el mentor de un chico a quien enseña a proteger un viejo pergamino que el monje ha cuidado durante sesenta años. Con la ayuda de una escurridiza joven, ambos combatirán contra un malvado maestro de kung fu."
Revolt,https://pluto.tv/latam/on-demand/movies/62d6dd7a18de5200137c1611,La historia de la última batalla entre la humanidad y una invasión alienígena. Un soldado de USA y una ayudante francesa se unen para sobrevivir. Su unión será puesta a prueba mientras buscan refugio.
Tres Ladrones y un Bebé,https://pluto.tv/latam/on-demand/movies/641c6c5f1a5081001a49be52,"Fong es un ladrón con mala suerte. Con unas habilidades excepcionales, Fong siempre pierde todas sus ganancias en sus robos de apuestas. Su gran oportunidad llega cuando un gángster les pide a él y a su compañero pulpo que secuestren a un importante bebé."
Ciudad Sitiada,https://pluto.tv/latam/on-demand/movies/62bc8eed5d2a85001328b61a,"Cuando el payaso de circo Sunny se transforma en un mutante con superpoderes, se enfrenta a sus compañeros, que fueron alterados en el mismo accidente y ahora están usando sus poderes para causar estragos en la ciudad."
La Hora de la Verdad,https://pluto.tv/latam/on-demand/movies/641c6c541a5081001a49ba5c,"El plan de los tres ladrones lo tiene todo para salir adelante -secuestrar al nieto de un millonario y ganar dinero fácil- pero no contaban con el carisma del bebé, lo que enternece el corazón del trío y dificulta la tarea."
The Package,https://pluto.tv/latam/on-demand/movies/5e601a10725522001444fae1,Un mensajero de un criminal local debe entregar un paquete misterioso mientras es perseguido por una horda de gángsters inusuales.
Revolver,https://pluto.tv/latam/on-demand/movies/63caf2e2f97d010013fb1263,El jugador de cartas Jake Green juega en una partida con consecuencias potencialmente mortales.
Danny El Perro,https://pluto.tv/latam/on-demand/movies/63adf059bc65210013526431,Un hombre esclavizado por la mafia desde la infancia y criado para comportarse como un perro de presa humano escapa de sus captores e intenta comenzar una nueva vida.
El infierno de Malone,https://pluto.tv/latam/on-demand/movies/63adcd31e21bf90013c22ed4,"Cuando el detective privado Malone intenta recuperar un maletín de un hotel de mala muerte, cae en una trampa. Las balas y la sangre vuelan mientras Malone lucha contra un ejército de matones para proteger no solo el caso, sino también a un cliente bomba."
Wasabi,https://pluto.tv/latam/on-demand/movies/63ac63cfeb85c500132e569c,"En Japón, para el funeral de su amor perdido hace mucho, un inspector francés duro descubre que también tiene una hija adolescente y que su vida corre peligro por la Yakuza."
One last heist,https://pluto.tv/latam/on-demand/movies/63adca62501aab0013b52af7,Una banda criminal de veteranos intenta llevar a cabo el robo más grande en la historia de Inglaterra en una instalación de depósito de seguridad subterránea con un valor estimado de 200 millones de libras esterlinas.
Vacaciones en Mumbay,https://pluto.tv/latam/on-demand/movies/639cc5d388bc20001348480a,Virat es un Agente Secreto que está de vacaciones en Mumbai. Durante su viaje en autobús hay un robo y los hechos llevan a que Virat se involucre en algo más peligroso buscando al cabecilla de una célula terrorista que quiere sembrar el pánico en Mumbai.
The Good Thief,https://pluto.tv/latam/on-demand/movies/6398a183a6bb3b00146b3430,Un viejo jugador (Nick Nolte) en una racha perdedora intenta robar un casino en Montecarlo. Reversión de Bob le Flambeur (1956).
Hembra alfa,https://pluto.tv/latam/on-demand/movies/6398a88a8ba71d0013e3bd2a,"""Hembra alfa"" es una hora irreverente que rastrea la evolución de habilidades femeninas únicas desde las praderas de África hasta las torres de oficinas de Manhattan."
El Defensor,https://pluto.tv/latam/on-demand/movies/6336f6669d9b7c00133f34c1,"Lance y su equipo son los guardaespaldas del jefe de la NSA, quien es enviado por el presidente a una reunión secreta en un hotel vacío en las afueras de Bucarest. Durante la reunión, el hotel es atacado."
Velocidad sin Límites,https://pluto.tv/latam/on-demand/movies/62fea15020d41e001a6e6230,"Una bella mujer, líder de una banda de música, se encuentra envuelta en una competición ilegal de carreras de coches que se llevan a cabo para entretener a millonarios aburridos."
El asalto del vuelo,https://pluto.tv/latam/on-demand/movies/62d6fc75997d5700138e41a3,"Basado en una historia real, un equipo SWAT tiene la tarea de asaltar un avión de Air France secuestrado para salvar a sus pasajeros."
Samurai X 3,https://pluto.tv/latam/on-demand/movies/6310f5f7bc1f1600132c311f,"El duelo entre Kenshin Himura y el maligno Shishio Makoto sigue sin resolverse. El conflicto entre los dos guerreros decidirá el destino de Japón, y pondrá un bombástico punto final a la memorable adaptación cinematográfica del manga de Nobuhiro Watsuki."
The Four 3,https://pluto.tv/latam/on-demand/movies/63179ceabc1f1600132f5ec0,"Un escuadrón de élite sale a resolver el misterio del emperador Huizong, desaparecido tras un atentado contra su vida."
Samurai X 2,https://pluto.tv/latam/on-demand/movies/6310f48bd1f9a40013b7c70c,"Kenshin Himura se enfrenta al malvado Makoto Shishio, que intenta derrocar al gobierno Meiji. El destino del país pende de un hilo cuando Kenshin Himura toma la espada que prometió no volver a desenvainar."
Samurai X 1: Rurouni Kenshin,https://pluto.tv/latam/on-demand/movies/6310f32337c5800013b69eee,Un ex asesino que ha decidido no volver a matar nunca más tiene su voto a prueba.
Bruce Lee - My Brother,https://pluto.tv/latam/on-demand/movies/5e552dc65c1e25001a24f34a,"Bruce Lee, My Brother es una dramática película biográfica de la leyenda homónima de las artes marciales contada por su hermano menor, Robert Lee."
Guerra de rebeldes,https://pluto.tv/latam/on-demand/movies/5f7b86f6e4b56900138b7644,Un grupo de fuerzas especiales de élite de diferentes nacionalidades es enviado para combatir una creciente amenaza terrorista clandestina en el Oriente Medio.
Police Story 7,https://pluto.tv/latam/on-demand/movies/60e6fac0af6eb3001305ac46,"Un hombre que busca la liberación de un prisionero de mucho tiempo toma como rehenes a un oficial de policía, a su hija y a un grupo de extraños."
Entrenado para matar,https://pluto.tv/latam/on-demand/movies/5f3fd8b0ad190c001a52e96c,Un agente del servicio secreto británico se enfrenta a la tarea de perseguir y eliminar a un terrorista suicida nacido en Gran Bretaña y a toda su célula terrorista.
Cazadores de hombres,https://pluto.tv/latam/on-demand/movies/5f7b86b3e4b56900138b727f,"Basada en la novela del japonés Juko Nishimura, la película sigue a un fiscal que ve manchado su expediente por una violación, asesinato y robo, por lo que se dispone a limpiar su nombre."
Carrera sin Reglas,https://pluto.tv/latam/on-demand/movies/62cc67fa18de52001378c2fa,"Con una bomba de tiempo en su cuello, un joven corre contra el reloj y todo tipo de enemigos al ir de un extremo a otro de la ciudad para intentar salvarse a sí mismo y a su novia."
El forastero,https://pluto.tv/latam/on-demand/movies/62cc2b869f6f4700149304c9,"Gira en torno a un contratista militar británico Lex Walker a quien se le dice que su hija ha muerto. Cuando llega a Los Ángeles descubre que el cuerpo no es el de su hija, y comienza una investigación."
Piratas,https://pluto.tv/latam/on-demand/movies/62cc2b7f9f6f4700149303c9,Un grupo de piratas y bandidos se unen para cazar a una ballena gris que se ha tragado el sello real
No Confíes en Nadie,https://pluto.tv/latam/on-demand/movies/627c0d7455812e0013edeaf9,Un detective que investiga una serie de asesinatos descubre que el gobierno puede estar involucrado en los mismos.
Rey de los Británicos,https://pluto.tv/latam/on-demand/movies/627c0d5d55812e0013ede827,"Después de ser traicionado y atacado por los sajones, el rey de los británicos es acogido y atendido. Mientras se recupera, descubre lo mal que han tratado a su gente y jura venganza."
El Conductor,https://pluto.tv/latam/on-demand/movies/627c0a3255812e0013ede2de,"Un conductor de fuga criminal juega con su código y conjunto de reglas durante años. Cuando se ve obligado a romper sus reglas, comienza un efecto dominó de caos en un mundo ya peligroso de jugadores traicioneros."
Hebilla de Forajido,https://pluto.tv/latam/on-demand/movies/627c0a1755812e0013eddf23,Un asesino en serie causa estragos dentro de una prisión de Texas durante la peor tormenta del año.
The Four ,https://pluto.tv/latam/on-demand/movies/63179b83d1f9a40013b92eaa,"Un departamento del gobierno conocido como Six Panels nombra a su mejor oficial para infiltrarse en una fuerza especial llamada Divine Constabulary, para asegurarse de detener la circulación de monedas falsas en la capital."
